ID,Edad,Estatura,Peso,Abdominales,Tiempo,Frecuencia_Cardiaca
1,19,1.63,50.0,40,270,57
2,21,1.74,58.0,37,263,59
3,20,1.67,57.7,34,299,68
4,19,1.69,62.3,36,289,69
5,18,1.67,53.2,37,287,65
6,18,1.84,64.2,37,267,69
7,18,1.71,52.0,35,299,60
8,20,1.64,50.0,36,263,64
9,19,1.77,65.8,33,295,70
10,20,1.62,60.6,31,319,63
11,18,1.72,58.2,36,268,75
12,21,1.58,56.4,37,271,67
13,20,1.62,55.1,36,281,59
14,18,1.72,55.1,35,276,68
15,18,1.76,62.8,30,276,62
16,18,1.72,67.1,32,291,73
17,18,1.7,57.3,35,270,71
18,19,1.69,65.6,31,298,64
19,19,1.61,50.0,37,266,68
20,18,1.66,59.8,36,299,68
21,19,1.68,56.9,40,261,69
22,18,1.78,60.3,36,276,76
23,18,1.73,59.7,36,290,65
24,19,1.59,50.0,37,263,59
25,19,1.73,57.9,30,298,61
26,20,1.68,58.4,35,298,62
27,18,1.66,63.4,35,263,67
28,19,1.75,57.4,40,272,67
29,19,1.78,57.5,35,286,67
30,18,1.78,59.1,36,289,70
